m000,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m021,m022,m023,m024,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m061,m062,m063
22.097328,21.088966,22.592224,22.037827,23.409134,21.274185,28.671276,23.028866,23.964785,22.433651,20.765417,23.470673,24.254509,23.22773,21.652023,20.54971,22.49801,22.826056,23.663513,22.166065,21.703892,22.74054,21.877968,22.2946,21.833855,20.635025,23.60157,22.515137,22.640034,21.680695,21.549276,20.749966,22.112503,20.967302,23.013695,24.143814,22.232456,23.334105,23.406324,24.262125,22.513943,22.801859,22.072933,20.333042,23.694874,23.486961,22.63509,20.540653,22.427794,22.390032,21.80909,21.305119,19.350897,23.182583,21.372547,22.841759,19.256939,23.612556,21.384178,21.843708,22.51366,23.444141
22.577833,21.4452,22.966322,22.414772,23.886673,21.776632,29.196056,23.55582,24.527693,22.884645,21.16358,24.099838,24.795355,23.751606,22.025078,20.905458,22.957243,23.376228,24.183308,22.731337,22.233593,22.92358,22.234308,22.915419,22.47165,21.014381,24.101671,22.99197,23.260235,22.12242,22.070452,21.12922,22.448719,21.333149,23.723444,24.918753,22.723736,24.00656,23.926193,24.905588,22.87784,23.552088,22.598606,20.97261,24.347784,23.957403,22.935825,21.140163,23.216156,23.282534,22.2686,21.695158,20.022305,23.93098,22.138897,23.470558,19.699047,24.458576,21.674143,22.326319,23.137314,24.072166
22.732487,21.607506,23.044369,22.629217,24.27647,21.960629,29.275494,23.646976,24.584524,23.08014,21.442768,24.33255,24.811335,23.792343,22.199326,20.900879,23.072798,23.522812,24.07458,22.81626,22.227123,23.06952,22.329361,23.34058,22.996452,21.248371,24.398163,23.192463,23.650673,22.186806,22.438728,21.332743,22.688759,21.617641,23.670256,24.948229,22.680292,23.97051,23.94069,24.858246,22.894894,23.77304,22.975435,21.274721,24.54569,23.914112,22.924305,21.35328,23.622643,23.698662,22.52557,21.900358,20.262043,24.1459,22.438656,23.724781,19.73236,24.542168,21.808865,22.651876,23.205004,24.275421
22.904896,21.82478,23.015284,22.93346,24.559986,22.00719,29.457176,23.784985,24.50478,23.105507,21.589693,24.477777,24.790936,23.7365,22.32465,21.119196,23.168797,23.555246,24.011475,22.809175,22.179533,23.278252,22.460392,23.614834,23.237328,21.506569,24.592232,23.343582,23.730997,22.39019,22.6134,21.664904,22.999762,22.010012,23.5616,24.929932,22.579689,23.658016,23.810278,24.575977,22.831877,23.897001,23.207273,21.421747,24.49339,23.763119,22.861511,21.279335,23.761555,23.812214,22.838608,21.987194,20.343788,24.084085,22.395725,23.68057,19.454475,24.456202,21.884102,22.79756,23.122618,24.300789
23.186905,22.098343,23.00798,23.047775,24.731075,21.981415,29.609247,23.951271,24.4846,22.981634,21.662815,24.539614,24.764132,23.70045,22.396973,21.043415,23.15805,23.511497,24.096523,22.726341,22.066711,23.491592,22.629192,23.789648,23.357721,21.749355,24.73827,23.498892,23.692812,22.521717,22.578236,21.929451,23.331152,22.491173,23.508255,24.859665,22.5905,23.160488,23.748257,24.438656,22.757019,23.92324,23.352882,21.486786,24.359146,23.71905,22.84386,21.104372,23.784588,23.799358,23.189909,21.993935,20.219694,23.748013,22.07679,23.413965,19.170942,24.379473,21.859518,22.741867,22.99244,24.233475
23.333714,22.123608,22.993717,22.833946,24.678658,21.778524,29.577156,23.948965,24.427464,22.703983,21.580353,24.501225,24.8553,23.696123,22.395847,21.142595,23.015156,23.412848,24.162968,22.632626,21.902527,23.558805,22.726204,23.725155,23.27303,21.702251,24.681671,23.40526,23.50109,22.458824,22.362627,21.837818,23.308826,22.527807,23.599535,24.80067,22.668562,23.3702,23.725948,24.478266,22.721828,23.757538,23.308485,21.367775,23.927631,23.729137,22.778643,20.911137,23.67696,23.498278,23.201923,21.761124,20.00091,23.35432,21.74319,23.087177,18.98202,24.283829,21.769638,22.645245,22.8681,24.070194
22.818607,21.55077,22.563412,21.936996,24.156933,21.215527,28.819788,23.289118,24.03802,22.245335,21.079746,23.832722,24.357721,23.250174,21.85516,20.68388,22.517487,22.950483,23.457819,22.212929,21.406773,23.161491,22.280773,22.915722,22.786734,21.054712,23.987766,22.72929,22.694159,21.980495,21.812115,21.290592,22.662378,21.97297,23.095795,24.196411,22.298018,22.74826,23.2962,24.176981,22.401619,22.821709,22.896416,20.877102,22.943903,23.438358,22.446217,20.444181,23.310783,22.519188,22.334837,21.19898,19.426096,22.882343,21.308834,22.567055,18.783905,23.887993,21.529861,21.9338,22.472403,23.47149
23.209906,21.759512,22.601091,22.111095,24.253542,21.14153,28.98426,23.511196,24.379272,21.920341,20.987125,23.98904,24.913391,23.670414,22.120302,21.128298,22.624168,23.011616,23.780777,22.275581,21.677122,23.3293,22.425406,23.237148,22.760683,21.321346,24.148438,22.916445,22.78849,22.207691,21.73275,21.32444,22.887642,22.10487,23.450264,24.458427,22.775574,23.23575,23.455797,24.694921,22.593012,23.005726,22.91356,20.78653,22.5562,23.836292,22.679506,20.546238,23.12865,22.615097,22.69889,21.038715,19.454239,22.729053,21.242588,22.320137,19.06629,24.421375,21.327436,21.725946,22.52689,23.548536
22.94155,21.49954,22.30674,21.778461,23.904297,20.901917,28.51295,23.170177,24.171568,21.48714,20.631218,23.629831,24.731926,23.360508,21.86235,20.866962,22.37117,22.812908,23.412144,21.936447,21.493698,23.07314,22.069363,22.816013,22.387783,21.055094,23.812092,22.689293,22.45544,21.911926,21.40737,20.943886,22.592173,21.76815,23.156494,24.091263,22.548351,23.020422,23.279648,24.465252,22.451344,22.613714,22.592241,20.301702,22.091412,23.632858,22.660519,20.32378,22.7471,21.919788,22.316694,20.62248,19.18973,22.526505,21.101303,22.041328,18.916702,24.325016,21.035568,21.158312,22.266861,23.228418
22.59822,21.16328,22.06379,21.440016,23.546259,20.62863,28.014156,22.797445,23.77449,21.122952,20.251678,23.22926,24.410156,23.020641,21.539444,20.558205,22.071817,22.517902,23.034607,21.551476,21.189669,22.762995,21.660128,22.216463,21.91841,20.712536,23.43,22.365978,22.093868,21.516964,21.035723,20.554539,22.22655,21.362375,22.728756,23.675594,22.230782,22.541489,23.038393,24.085045,22.245216,22.25711,22.162899,19.533998,21.87424,23.30465,22.44935,20.011894,22.301077,21.141874,21.918442,20.196655,18.997154,22.437248,21.072937,21.860342,18.661613,24.102245,20.712566,20.590858,21.902342,22.808302
