m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
17.795176,14.025656,15.438896,21.712374,15.662206,15.114575,26.577374,14.928358,15.908771,15.184683,15.577985,15.28706,17.112568,14.442133,15.383499,16.752037,15.865068,44.593895,15.57362,14.73035,15.005728,11.652354,16.877674,13.757064,15.551946,15.882294,14.5343,18.102013,14.542288,17.036655,14.389568,14.82687,14.434724,14.613084,14.552823,15.635069,14.083966,12.157606,15.304543,16.533585,16.122969,16.607082,18.47216,13.8577585,14.540337,14.146058,14.4866905,16.803066,13.782421,12.454279,15.222368,15.493963,14.418379
17.794018,14.023489,15.444257,21.713137,15.660411,15.120399,26.568272,14.928783,15.909983,15.189697,15.5815735,15.287367,17.106247,14.441238,15.380323,16.754768,15.866828,44.59671,15.572976,14.734152,15.004674,11.65491,16.871998,13.7570305,15.555879,15.890154,14.542124,18.10201,14.545475,17.046822,14.389093,14.824627,14.437452,14.60783,14.553496,15.639367,14.087606,12.153135,15.300881,16.532578,16.117054,16.605253,18.480717,13.853615,14.539701,14.149359,14.497427,16.800514,13.785856,12.4551325,15.2197695,15.498915,14.415395
17.79684,14.025322,15.438106,21.712471,15.663286,15.122692,26.568874,14.93111,15.912671,15.193163,15.579592,15.290593,17.116219,14.444295,15.381619,16.751263,15.865929,44.589367,15.576972,14.731981,15.010279,11.655785,16.87247,13.757489,15.561075,15.886696,14.548109,18.099081,14.545213,17.041142,14.388088,14.82725,14.436508,14.609545,14.55501,15.634322,14.084444,12.157283,15.303625,16.536194,16.12394,16.601498,18.481926,13.857212,14.541103,14.151848,14.494676,16.795094,13.786304,12.457735,15.222366,15.49968,14.422189
17.799812,14.02994,15.43759,21.71576,15.664151,15.124544,26.572927,14.93374,15.915054,15.191633,15.57894,15.294867,17.108555,14.444031,15.392926,16.750593,15.866935,44.59728,15.581537,14.732536,15.009377,11.656094,16.87281,13.7609005,15.570135,15.88537,14.553745,18.10888,14.550485,17.04988,14.390793,14.824944,14.434164,14.609983,14.554232,15.644438,14.09069,12.160084,15.30563,16.535156,16.13029,16.606567,18.48402,13.85906,14.5392685,14.154185,14.496127,16.80309,13.791716,12.456573,15.221266,15.50572,14.425315
17.814028,14.036974,15.43354,21.72313,15.67494,15.126974,26.589931,14.934793,15.924673,15.202084,15.58984,15.290506,17.10994,14.450392,15.39525,16.75137,15.875025,44.606075,15.588396,14.735263,15.017178,11.666929,16.88822,13.767215,15.580363,15.893095,14.555323,18.11871,14.552113,17.055851,14.403395,14.8323555,14.438011,14.618938,14.562803,15.650144,14.099718,12.167173,15.303478,16.554413,16.138353,16.61465,18.48616,13.864189,14.547213,14.158369,14.501581,16.805115,13.7999325,12.461267,15.222934,15.507495,14.435399
17.830536,14.042072,15.451824,21.74276,15.689925,15.138569,26.608402,14.946166,15.935205,15.214064,15.6012,15.300236,17.12014,14.458425,15.410402,16.775185,15.889352,44.61463,15.598234,14.741333,15.02492,11.672632,16.89945,13.778517,15.582508,15.904293,14.560467,18.122992,14.560504,17.063625,14.409136,14.834446,14.447763,14.625944,14.573631,15.661344,14.101227,12.170439,15.311714,16.554644,16.148037,16.624296,18.498878,13.86651,14.553313,14.1582775,14.510951,16.814484,13.8097725,12.475993,15.2277355,15.518059,14.438576
17.835009,14.045595,15.461095,21.748901,15.691295,15.128844,26.609715,14.941996,15.938173,15.21207,15.606094,15.308403,17.117783,14.462109,15.412062,16.779154,15.889118,44.60161,15.59702,14.745338,15.028515,11.675587,16.894352,13.781994,15.584484,15.906518,14.552515,18.122023,14.566223,17.07109,14.412578,14.838015,14.449856,14.6316395,14.575569,15.663503,14.106735,12.172175,15.318515,16.559805,16.150885,16.624256,18.51147,13.863191,14.556438,14.163937,14.509096,16.812153,13.8113575,12.484634,15.229495,15.521521,14.443653
17.83417,14.037378,15.453053,21.736925,15.685057,15.124627,26.60821,14.937817,15.93359,15.211741,15.596874,15.300209,17.108576,14.456681,15.403933,16.780125,15.8856945,44.607193,15.592661,14.741601,15.026554,11.668419,16.887213,13.773613,15.5806675,15.893806,14.540704,18.109856,14.555394,17.06701,14.402654,14.838938,14.443889,14.630159,14.570814,15.65868,14.102774,12.169761,15.308786,16.54903,16.149866,16.62393,18.503716,13.862209,14.547072,14.159293,14.506373,16.80793,13.807823,12.487549,15.223587,15.513741,14.439641
17.82287,14.026274,15.439337,21.71978,15.676796,15.115564,26.585392,14.926277,15.91427,15.201723,15.584509,15.290516,17.102379,14.447069,15.392294,16.772562,15.877752,44.583878,15.58145,14.734646,15.018517,11.6600685,16.874588,13.757611,15.567896,15.88437,14.534224,18.102201,14.5453415,17.049957,14.394211,14.834358,14.433053,14.615144,14.563049,15.645227,14.097677,12.163774,15.293209,16.535244,16.135162,16.61657,18.491867,13.855308,14.541092,14.145687,14.494856,16.789509,13.800915,12.478719,15.21463,15.508152,14.436115
17.80701,14.019455,15.429063,21.709917,15.671312,15.106804,26.575314,14.915528,15.908538,15.193628,15.569623,15.282639,17.096197,14.434825,15.379366,16.761742,15.870855,44.591812,15.576869,14.7285,15.006609,11.656095,16.866903,13.7520685,15.558361,15.879561,14.529009,18.09538,14.53812,17.036572,14.384642,14.825993,14.426081,14.608347,14.550835,15.633575,14.088526,12.154857,15.288761,16.532606,16.127157,16.61142,18.479214,13.851292,14.539139,14.138823,14.4814625,16.773945,13.794159,12.463526,15.205046,15.505008,14.421423
