m000,m001,m002,m003,m004,m005,m006,m007,m009,m010,m011,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m025,m026,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m046,m047,m048,m049,m050,m051,m052,m053,m054,m055,m056,m057,m058,m059,m061,m062,m063
16.556026,16.25888,16.885685,16.658726,16.78502,15.476082,15.979124,16.187365,15.567072,17.977238,16.4648,16.3129,17.201792,16.468037,17.958445,16.279755,15.596972,16.776218,17.007763,17.152466,16.9372,16.449902,16.971222,17.12959,18.130016,17.29695,17.534979,16.18164,17.004845,16.8182,16.950064,17.146996,15.589191,16.390362,16.939404,17.477442,15.789172,16.321085,16.079952,16.141924,16.833872,17.612698,17.462496,17.841473,15.639957,16.043213,16.722506,15.782341,15.430602,15.275848,17.085903,16.160015,16.328377,16.476482,16.077301,16.414858,15.922542,16.55124,15.262846,17.84182
16.673923,16.699047,16.913712,17.13144,16.889996,15.5260105,16.27427,16.49376,15.629158,18.102505,16.467999,16.440342,17.587925,16.569023,18.319141,16.510202,15.670042,16.939604,17.190947,17.305958,16.968584,16.741703,17.161062,17.349714,18.354832,17.578835,17.476986,16.567703,17.22617,17.103079,17.224083,17.421877,15.760147,16.526703,16.948383,17.637053,15.991364,16.491957,16.327427,16.25669,16.97863,17.618584,17.48269,17.946375,15.754141,16.036495,16.923868,15.805063,15.597979,15.304779,16.917439,15.941408,16.08075,16.37071,16.141682,16.63335,15.960987,16.412678,15.334965,17.705048
16.566906,16.615898,16.906101,17.057953,16.821476,15.514485,16.253872,16.382996,15.490801,17.944473,16.351461,16.36412,17.667645,16.606606,18.314293,16.563578,15.697793,16.816498,17.21929,17.337786,16.842525,16.660711,16.882706,17.242584,18.313753,17.400991,17.239494,16.513205,17.101612,17.115509,17.099052,17.532125,15.831891,16.593151,16.99221,17.79739,16.08479,16.535168,16.307775,16.213163,16.71081,17.485159,17.463491,17.912628,15.770103,15.942241,16.823479,15.645825,15.5813265,15.289929,16.882442,15.816631,16.013145,16.351664,16.045456,16.67332,15.964051,16.178856,15.309845,17.626558
16.618378,16.839937,16.934772,17.23408,16.914297,15.584143,16.457285,16.446823,15.5396595,17.965647,16.414112,16.397417,17.920681,16.71933,18.545853,16.779047,15.762125,16.825657,17.416183,17.475548,16.831228,16.781708,16.879858,17.286095,18.442795,17.50163,17.248318,16.735006,17.217857,17.310072,17.185106,17.820293,16.043228,16.755186,17.141144,18.089664,16.234129,16.654663,16.416698,16.257736,16.700531,17.469019,17.50012,17.919085,15.842129,16.021439,16.888002,15.63822,15.660707,15.322502,16.921722,15.799601,16.029167,16.400671,16.03761,16.890839,15.99598,16.103493,15.41571,17.575993
16.678019,17.058088,16.960117,17.388462,17.059954,15.674313,16.621284,16.510914,15.5938,17.989927,16.48733,16.414986,18.199411,16.882904,18.774424,17.039112,15.774174,16.819172,17.664768,17.632423,16.82582,16.89574,16.880667,17.30167,18.589432,17.573017,17.292747,16.886345,17.357952,17.50752,17.261953,18.109089,16.279491,16.959293,17.34426,18.435976,16.393389,16.806667,16.51776,16.316025,16.668076,17.441257,17.538397,17.944038,15.92379,16.182686,16.928434,15.633056,15.740011,15.36121,17.009895,15.832334,16.102356,16.480017,15.997715,17.067017,16.025396,16.047234,15.550631,17.470438
16.57862,16.95784,16.967756,17.264732,16.968302,15.740417,16.536495,16.39893,15.596337,17.941257,16.460905,16.369915,18.153725,16.932543,18.714256,17.058626,15.71461,16.746408,17.65834,17.615578,16.783016,16.754786,16.740707,17.17052,18.537714,17.44537,17.171791,16.746159,17.39556,17.455687,17.163506,18.073103,16.280157,17.014923,17.460457,18.486893,16.43352,16.830898,16.441936,16.286215,16.5347,17.446857,17.572227,17.941378,15.910325,16.284977,16.852724,15.639692,15.692263,15.38471,17.099821,15.90436,16.19758,16.573608,15.89408,17.06209,16.03278,16.01602,15.61128,17.376007
16.490084,17.007366,17.033676,17.282364,16.907513,15.910047,16.523396,16.367962,15.643974,17.919306,16.408966,16.336279,18.270037,17.006042,18.72871,17.179276,15.712364,16.670963,17.778797,17.676647,16.77565,16.69453,16.643747,17.128809,18.577944,17.410164,17.204926,16.709066,17.557913,17.55726,17.103203,18.13284,16.445808,17.121807,17.69484,18.696575,16.593622,16.90215,16.433393,16.262194,16.44424,17.472046,17.626925,18.006958,15.936092,16.323475,16.720478,15.682251,15.661355,15.406512,17.231476,16.040623,16.344036,16.709244,15.870216,17.168922,16.025623,16.020102,15.6910095,17.36378
16.370403,16.764244,17.068485,16.920353,16.74347,16.043884,16.391703,16.314093,15.699264,17.899254,16.425388,16.31884,18.019764,16.950407,18.476543,17.071594,15.840028,16.596567,17.615662,17.623606,16.741371,16.62014,16.602192,17.075676,18.504473,17.346273,17.172752,16.534292,17.574768,17.40509,16.98036,17.866322,16.353281,17.006863,17.670416,18.49428,16.599514,16.820358,16.397276,16.203085,16.38294,17.559057,17.697283,18.110302,15.887435,16.440216,16.64617,15.786215,15.5788965,15.42411,17.329681,16.163496,16.465267,16.802822,15.924761,17.075663,16.020603,16.083654,15.724455,17.368586
16.32177,16.455269,17.13015,16.754887,16.576046,15.983746,16.136862,16.112564,15.66701,17.897547,16.284721,16.222528,17.765022,16.796467,18.127806,16.84391,15.7755375,16.556686,17.42107,17.428677,16.759338,16.425095,16.572834,16.999985,18.34711,17.16881,17.100641,16.320509,17.424225,17.175823,16.861343,17.540655,16.199562,16.768242,17.501783,18.21665,16.461727,16.652283,16.220924,16.111002,16.36944,17.643124,17.689243,18.0168,15.782179,16.382254,16.628496,15.853286,15.454434,15.404843,17.293383,16.18402,16.457943,16.79202,15.852686,16.921024,15.992354,16.149363,15.604056,17.374722
16.307981,16.317661,17.127748,16.723701,16.551922,16.052309,15.987416,16.005674,15.660784,17.927008,16.229641,16.162638,17.653948,16.700527,17.921871,16.714985,15.668371,16.536938,17.400433,17.326145,16.76614,16.334558,16.610855,16.991457,18.28101,17.08168,17.1888,16.245018,17.393858,17.044846,16.813477,17.331001,16.17329,16.675327,17.473942,18.151705,16.455572,16.547268,16.112373,16.069477,16.39749,17.671785,17.645107,17.924395,15.718615,16.38181,16.676067,15.92725,15.369974,15.38459,17.271515,16.225048,16.46089,16.776659,15.803602,16.892595,15.938918,16.213568,15.543213,17.37294
16.296692,16.195585,17.034489,16.661905,16.507425,16.017223,15.893839,15.942528,15.64996,18.00063,16.247332,16.15651,17.476702,16.616379,17.782433,16.6108,15.6975975,16.54208,17.30354,17.175875,16.780449,16.299662,16.66185,16.964956,18.194466,17.032187,17.241467,16.012465,17.257395,16.894817,16.760916,17.181337,16.050335,16.588915,17.374485,17.985344,16.316917,16.439701,16.042778,16.057491,16.42131,17.671455,17.632265,17.802328,15.670435,16.42791,16.77804,15.940863,15.317816,15.387442,17.255009,16.262947,16.447432,16.786016,15.8049965,16.780476,15.929712,16.300508,15.517844,17.425774
